time_window_sec,amm_oracle,oracle_count,trade_count,oracle_trade_ratio,pool,pool_oracle_p99,pool_trade_p10
2576234,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2576249,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2576262,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2576362,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2577119,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2577488,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2577508,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2577552,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2577766,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2577767,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2577768,BisonFi,27,0,27.0,BisonFi,10.0,0.0
2577769,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2577772,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2577776,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2577789,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2578161,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2578599,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2578776,BisonFi,23,0,23.0,BisonFi,10.0,0.0
2578777,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2578780,BisonFi,16,0,16.0,BisonFi,10.0,0.0
2578786,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2578805,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2578837,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2578961,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2578962,BisonFi,15,0,15.0,BisonFi,10.0,0.0
2578967,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2578969,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2578984,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2579045,BisonFi,18,0,18.0,BisonFi,10.0,0.0
2579094,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2579114,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2579272,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2579481,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2580500,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2580503,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2580508,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2580598,BisonFi,16,0,16.0,BisonFi,10.0,0.0
2580607,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2580639,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2580654,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2580691,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2580958,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2581105,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581128,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581181,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581378,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581382,BisonFi,10,0,10.0,BisonFi,10.0,0.0
