amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence
BisonFi,AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,0,5,0,0,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,2,0.002,0.02,0.018000000000000002,high
BisonFi,AXKh1U16oJASHC1cktGt9EVtDKHYraktMYDmrDLjL1Ba,0,1,0,0,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,0,0.0,0.0,0.0,medium
BisonFi,AdbsNFrDfrxL5KtE1o4KV7yTUHsmQLVaBKuVTtfBYUis,0,1,0,0,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,0,0.0,0.0,0.0,medium
BisonFi,AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,0,3,0,2,DZVqmD4QqSWM2gUyEXdQhvt4u3NZtCRxdsn2n2nNiBRL,2,0.002,0.02,0.018000000000000002,high
BisonFi,AiH2ff9tN2VKwUXVXJawEmAxWkBTZoPPcZGwHUmihjY8,0,6,0,0,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,3,0.003,0.03,0.027,high
BisonFi,An1RKaJEH9yV5fxz5TZea5V1Cz4ebcA8JjTeo1sc4zLU,0,3,0,0,SSmBEooM7RkmyuXxuKgAhTvhQZ36Z3G2WsmLGJKoQLY,1,0.001,0.01,0.009000000000000001,medium
BisonFi,BCE9ic3dPTAfX1Y7ccLc8ms2UrHV864RGUZjEL9JubJh,0,1,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,0,0.0,0.0,0.0,medium
BisonFi,BE4u3LB3xanMfo1xryxwrsjkMBqLay8qVkCjD8NEWFji,0,1,0,0,58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,0,0.0,0.0,0.0,medium
BisonFi,BL1ovZ6YwMCYanq1m8LRKZM7469z6C5AVyg87zZCiz1a,0,1,0,0,CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,0,0.0,0.0,0.0,medium
BisonFi,BS5HSYqW3QrqbXy6sTLUXdCMkGtq1ZC72dmTPrSuGXZ8,0,1,0,0,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,0,0.0,0.0,0.0,medium
BisonFi,BWB7Ze1zGMEPN2yM3PsHHA9XRXiLhBbuRDet2uBq8YN9,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,medium
BisonFi,BWaQQwcdUVwZzEsiTRrzJ48F6woAB6rkBNzvBqMtC5cG,0,2,0,0,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,1,0.001,0.01,0.009000000000000001,medium
BisonFi,BmKQgzKN6moxEXievnPzQdRyxZf7wFboE19roqY3xzr8,0,1,0,0,3V2xaccDpFib4DbTksdiveNDmiwpXBqSWyjSof3w1Bg7,0,0.0,0.0,0.0,medium
BisonFi,BmbwYxVhrCRo2U1CDqjWSWHAiYDM1uwfi4dHzsY9Yr4B,0,9,0,0,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,4,0.004,0.04,0.036000000000000004,medium
BisonFi,Bno15y4FkpvwSeioT8G5f4qtjwAV9dA4hDuJRYPYkgzF,0,1,0,0,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,0,0.0,0.0,0.0,medium
BisonFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,181,0,5,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,92,0.092,0.92,0.8280000000000001,high
BisonFi,C9u2k7T22tbM7C53wMWZHKqVJ85eiBdrvjCu6gLvMAhe,0,23,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,11,0.011,0.11,0.099,high
